ID,Relationship,Target_ID
HAO:0000281,BFO:0000050,HAO:0000929
HAO:0000282,is_a,HAO:0000072
HAO:0000282,BFO:0000050,HAO:0000182
HAO:0000283,is_a,HAO:0000282
HAO:0000283,BFO:0000050,HAO:0000427
HAO:0000284,is_a,HAO:0000041
HAO:0000285,is_a,HAO:0000510
HAO:0000285,BFO:0000050,HAO:0000909
HAO:0000286,is_a,HAO:0000012
HAO:0000287,is_a,HAO:0000342
HAO:0000287,BFO:0000050,HAO:0000343
HAO:0000289,is_a,HAO:0000005
HAO:0000290,is_a,HAO:0001313
HAO:0000290,is_a,HAO:0000040
HAO:0000290,BFO:0000050,HAO:0000421
HAO:0000291,is_a,HAO:0000221
HAO:0000291,BFO:0000050,HAO:0000091
HAO:0000292,is_a,HAO:0000188
HAO:0000292,BFO:0000050,HAO:0000566
HAO:0000293,is_a,HAO:0002021
HAO:0000293,BFO:0000050,HAO:0000566
HAO:0000294,is_a,HAO:0000912
HAO:0000294,BFO:0000050,HAO:0000557
HAO:0000295,is_a,HAO:0000146
HAO:0000295,BFO:0000050,HAO:0000862
HAO:0000296,is_a,HAO:0000978
HAO:0000297,is_a,HAO:0001525
HAO:0000297,BFO:0000050,HAO:0000234
HAO:0000298,is_a,HAO:0000066
HAO:0000298,BFO:0000050,HAO:0000421
HAO:0000299,is_a,HAO:0000146
HAO:0000299,BFO:0000050,HAO:0000729
HAO:0000300,is_a,HAO:0000221
HAO:0000300,BFO:0000050,HAO:0000809
HAO:0000301,is_a,HAO:0001587
HAO:0000301,BFO:0000050,HAO:0000300
HAO:0000302,is_a,HAO:0000344
HAO:0000302,BFO:0000050,HAO:0000626
HAO:0000303,is_a,HAO:0000146
HAO:0000303,BFO:0000050,HAO:0000729
HAO:0000304,is_a,HAO:0000648
HAO:0000304,BFO:0000050,HAO:0000212
HAO:0000305,is_a,HAO:0000899
HAO:0000305,BFO:0000050,HAO:0000502
HAO:0000306,is_a,HAO:0000978
HAO:0000306,BFO:0000050,HAO:0000316
HAO:0000307,is_a,HAO:0000188
HAO:0000307,BFO:0000050,HAO:0000853
HAO:0000308,is_a,HAO:0000142
HAO:0000308,BFO:0000050,HAO:0000707
HAO:0000309,is_a,HAO:0000909
HAO:0000309,BFO:0000050,HAO:0001014
HAO:0000310,is_a,HAO:0000146
HAO:0000311,is_a,HAO:0001313
HAO:0000311,BFO:0000050,HAO:0000421
HAO:0000312,is_a,HAO:0000144
